Employee Name, Punch Date, Punch Time, Punch Type, Flagged
Made with new employee management,05/01/2021,03:33:41.153 AM,in,no
Made with new employee management,05/01/2021,05:58:54.590 PM,lunchout,no
Made with new employee management,05/01/2021,05:59:17.509 PM,lunchin,yes
Made with new employee management,05/01/2021,05:59:37.587 PM,out,yes
Made with new employee management,05/01/2021,06:56:56.800 PM,in,no
Made with new employee management,05/01/2021,06:57:52.335 PM,lunchout,yes
Made with new employee management,05/01/2021,06:58:10.004 PM,lunchin,yes
Made with new employee management,05/01/2021,07:00:09.483 PM,out,yes
Made with new employee management,05/01/2021,07:00:22.062 PM,in,no
Made with new employee management,05/01/2021,07:00:36.725 PM,lunchout,yes
